id,prix_mad,ville,quartier,surface_m2,nb_chambres,nb_salles_de_bain,log_prix,price_category,surface_par_chambre,mois_annonce
4721,1020000.0,Tanger,Tanja Balia,196.0,2,1,13.83531416565213,Moyen,65.33333333333333,5
2055,750000.0,Fès,Autre Secteur,110.0,2,1,13.527829818844937,Moyen,36.666666666666664,5
5377,360000.0,Agadir,Autre Secteur,56.0,2,1,12.793862088206213,Économique,18.666666666666668,5
6948,450000.0,Tanger,Aharrarine,56.0,2,1,13.017005083966255,Économique,18.666666666666668,5
5146,580000.0,Salé,Sala El Jadida,65.0,2,1,13.270785106659046,Moyen,21.666666666666668,5
4433,400000.0,Béni Mellal,Toute La Ville,84.0,3,2,12.899222326086994,Économique,21.0,5
3644,860000.0,Marrakech,Hay Izdihar,69.0,2,1,13.664688831019712,Moyen,23.0,5
4144,410000.0,Kénitra,Bir Rami,80.0,2,2,12.923914877701906,Économique,26.666666666666668,5
2879,1100000.0,Marrakech,Route De Casablanca,83.0,2,1,13.910821646859095,Moyen,27.666666666666668,5
4203,560000.0,Kénitra,Fouarate,84.0,3,1,13.235693848424024,Moyen,21.0,5
6493,920000.0,Temara,Abbadi,98.0,2,2,13.732130035981154,Moyen,32.666666666666664,5
5176,440000.0,Bouznika,Autre Secteur,58.0,1,1,12.994532278619134,Économique,29.0,5
2287,1500000.0,Temara,Wifak,128.0,3,2,14.220976332738882,Moyen,32.0,5
2262,1450000.0,Rabat,Massira,101.0,3,2,14.187074804051692,Moyen,25.25,5
5241,360000.0,Tiznit,Toute La Ville,47.0,2,1,12.793862088206213,Économique,15.666666666666666,5
7289,460000.0,Casablanca,Ben M'Sick,76.0,2,2,13.038983942375959,Économique,25.333333333333332,5
2297,620000.0,Casablanca,Sidi Maarouf,80.0,2,1,13.3374763699232,Moyen,26.666666666666668,5
6938,2200000.0,Casablanca,Casablanca Finance City,64.0,1,1,14.603968372873895,Luxe,32.0,5
5932,2300000.0,Fès,Champ De Course,329.0,3,3,14.648420115681892,Luxe,82.25,5
1754,810000.0,Bouznika,Al Kawtar,95.0,2,2,13.60479076121576,Moyen,31.666666666666668,5
5198,1200000.0,Casablanca,Oulfa,97.0,3,2,13.997832948091215,Moyen,24.25,5
1968,1350000.0,Casablanca,Roches Noires,85.0,2,2,14.115615891155079,Moyen,28.333333333333332,5
7113,460000.0,Kénitra,Ouled Oujih,70.0,2,1,13.038983942375959,Économique,23.333333333333332,5
3118,550000.0,Bouskoura,Bouskoura Centre,57.0,2,1,13.217675375388819,Moyen,19.0,5
2394,1170000.0,Temara,Riad Oulad Mtaa,65.0,2,2,13.972515161474428,Moyen,21.666666666666668,5
524,1550000.0,Tanger,Ahlane,128.0,3,3,14.253766134056512,Luxe,32.0,5
6376,1950000.0,Marrakech,Guéliz,85.0,3,1,14.48334044336031,Luxe,21.25,5
6789,490000.0,Mohammedia,Autre Secteur,70.0,3,2,13.102162710901053,Économique,17.5,5
6982,470000.0,Casablanca,Sidi Bernoussi,78.0,2,1,13.060490101343552,Économique,26.0,5
5525,750000.0,Tanger,Aharrarine,80.0,3,2,13.527829818844937,Moyen,20.0,5
6677,850000.0,Martil,Toute La Ville,76.0,2,2,13.652992804936396,Moyen,25.333333333333332,5
3901,340000.0,Mediouna,Toute La Ville,53.0,2,1,12.73670383776449,Économique,17.666666666666668,5
7634,800000.0,Sidi Rahal,Toute La Ville,63.0,1,1,13.592368256649284,Moyen,31.5,5
4700,890000.0,Fès,Agdal,167.0,3,2,13.698977865303197,Moyen,41.75,5
5585,800000.0,Tanger,Autre Secteur,95.0,3,1,13.592368256649284,Moyen,23.75,5
7229,920000.0,Casablanca,Al Fida,78.0,3,2,13.732130035981154,Moyen,19.5,5
3123,680000.0,Martil,Toute La Ville,70.0,2,1,13.429849547739444,Moyen,23.333333333333332,5
6778,820000.0,Casablanca,Hay Al Amal,89.0,3,1,13.617060838751888,Moyen,22.25,5
4157,890000.0,Casablanca,Autre Secteur,105.0,2,1,13.698977865303197,Moyen,35.0,5
